image_path,predicted_caption,ground_truth_caption
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/green lapcot.png,"a green coat, which is a long, oversized coat with a belt.","Bright green, oversized, double-breasted overcoat with wide lapels and black buttons."
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/high.png,a pair of black boots. The boots have a lace-up design and are likely made of leather.,Black knee-high boots with low heels and back tie detail.
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/lambo watch.jpg,"a watch, specifically a black and gold watch with a black face and a gold band. The watch features a unique design with two clocks on the face, which adds a distinctive and luxurious touch to it","Luxury Lamborghini watch with black and gold accents, three sub-dials, and leather strap."
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/mosque t-shirt.jpg,a black t-shirt featuring a colorful design of a cityscape with a mosque and a clock tower.,Black t-shirt with colorful mosque design and small circular logo on the chest.
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/NIKE.jpg,"a pair of Nike shoes. The shoes are white and blue in color, and they are covered in a variety of colorful balls, which are likely bouncy balls.","White Nike sneaker with colorful sole, orange accents, and blue Nike logo."
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/puma girl sneakers.jpg,"a black and gold shoe, which appears to be a sneaker. The shoe is placed on a pink surface, possibly a carpet or a bed.","Black Puma sneakers with gold accents, elastic straps, and a chunky sole design."
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/red suit.png,"a red suit jacket, which is a part of a mans formal attire. The suit jacket is paired with a black vest and a bow tie.","Elegant red and black tuxedo with floral pattern, bow tie, chain accessory, and black pants."
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/sea short.jpg,"a pair of swim trunks, which are a type of shorts designed for swimming and other water-related activities. The swim trunks are colorful and feature a pattern of tropical leaves, giving them a vibrant and eye-catching appearance.",Tropical print men swim trunks with drawstring waistband and vibrant leaf and fruit designs.
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/syria t-shirt.jpg,"a t-shirt featuring a mushroom and a reference to Syria Mosque. The t-shirt is white and has a design that includes a red mushroom, green writing, and a star. The design is likely related to a band or a specific event, as it is described as a ""band shirt.""",Vintage concert t-shirt featuring The Allman Brothers Band and Syria Mosque artwork.
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/tomato shirt.png,"a white shirt featuring a design of various fruits and vegetables. The design includes a tomato, an orange, a carrot, a peach, and a grape.",White t-shirt with colorful tomato illustrations in various shapes and sizes.
