image_path,predicted_caption,ground_truth_caption
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/green lapcot.png,"Bright green, oversized coat with a belt, featuring wide lapels and black buttons.","Bright green, oversized, double-breasted overcoat with wide lapels and black buttons."
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/high.png,"Black knee-high boots with a lace-up design, likely made of leather, and a back tie detail.",Black knee-high boots with low heels and back tie detail.
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/lambo watch.jpg,"Black and gold watch with a black face and gold band, featuring two clocks and a luxurious design.","Luxury Lamborghini watch with black and gold accents, three sub-dials, and leather strap."
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/mosque t-shirt.jpg,Black t-shirt with a colorful cityscape design including a mosque and a clock tower.,Black t-shirt with colorful mosque design and small circular logo on the chest.
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/NIKE.jpg,"White Nike shoes with colorful balls, blue Nike logo, and orange accents.","White Nike sneaker with colorful sole, orange accents, and blue Nike logo."
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/puma girl sneakers.jpg,"Black and gold sneaker placed on a pink surface, possibly a carpet or bed.","Black Puma sneakers with gold accents, elastic straps, and a chunky sole design."
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/red suit.png,"Red suit jacket paired with a black vest and bow tie, part of a man's formal attire.","Elegant red and black tuxedo with floral pattern, bow tie, chain accessory, and black pants."
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/sea short.jpg,"Colorful swim trunks with a pattern of tropical leaves, designed for swimming activities.",Tropical print men swim trunks with drawstring waistband and vibrant leaf and fruit designs.
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/syria t-shirt.jpg,"White t-shirt with a mushroom and a reference to Syria Mosque, likely a band shirt with a red mushroom, green writing, and a star.",Vintage concert t-shirt featuring The Allman Brothers Band and Syria Mosque artwork.
/media/akoubaa/new_ssd/naseif/Desktop/capstone/evaluation/data/images/tomato shirt.png,"White shirt with a design of various fruits and vegetables including a tomato, an orange, a carrot, a peach, and a grape.",White t-shirt with colorful tomato illustrations in various shapes and sizes.
